NAME,RUN#,#VAR,#INEQCON,#SUCCESS,#ITER,#BBEVAL,RUNTIME_SEC,#FEVAL,HMIN,FMIN,FEX,F_ERR
ackley,0,2,0,45,126,493,0.0870808999999999,493,1e-30,2.4137136733770603e-11,0.0,2.4137136733770603e-11
beale,0,2,0,155,332,1301,0.22288449999999993,1301,1e-30,4.066059945185314e-23,0.0,4.066059945185314e-23
dixonprice,0,2,0,67,162,633,0.12492769999999997,633,1e-30,7.250686426011379e-24,0.0,7.250686426011379e-24
griewank,0,2,0,31,88,337,0.072681,337,1e-30,0.0665643622606692,0.0,0.0665643622606692
levy,0,2,0,9,54,192,0.03761480000000006,192,1e-30,1.4997597826618576e-32,0.0,1.4997597826618576e-32
michalewicz,0,2,0,33,98,385,0.07493700000000003,385,1e-30,-1.8700482324311931,-1.8013,0.06874823243119321
perm,0,2,0,4,48,172,0.030932999999999877,172,1e-30,5.546678239835239e-31,0.0,5.546678239835239e-31
powell,0,4,0,1442,2506,20000,6.626066300000001,20000,1e-30,1.6820236729909222e-07,0.0,1.6820236729909222e-07
powersum,0,4,0,1460,2506,20000,6.6723903,20000,1e-30,0.004929880502074187,0.0,0.004929880502074187
rastrigin,0,2,0,33,104,410,0.07280130000000007,410,1e-30,0.0,0.0,0.0
rosenbrock,0,2,0,2581,5002,20000,7.879704099999998,20000,1e-30,2.3769711663324798e-18,0.0,2.3769711663324798e-18
schwefel,0,2,0,28,96,382,0.06297370000000058,382,1e-30,2.5455132458773733e-05,0.0,2.5455132458773733e-05
sphere,0,2,0,41,118,468,0.07928529999999867,468,1e-30,1.265146637818909e-24,0.0,1.265146637818909e-24
trid,0,2,0,5,50,191,0.03595080000000195,191,1e-30,-2.0,-2.0,0.0
zakharov,0,2,0,50,126,477,0.09273690000000201,477,1e-30,1.1759354540553864e-24,0.0,1.1759354540553864e-24
ackley,1,2,0,47,128,504,0.09020089999999925,504,1e-30,4.980904577678302e-12,0.0,4.980904577678302e-12
beale,1,2,0,186,390,1531,0.2657211000000004,1531,1e-30,4.120338259757553e-22,0.0,4.120338259757553e-22
dixonprice,1,2,0,69,172,674,0.12963200000000086,674,1e-30,7.660047747582616e-24,0.0,7.660047747582616e-24
griewank,1,2,0,29,90,353,0.06579420000000269,353,1e-30,0.0665643622606692,0.0,0.0665643622606692
levy,1,2,0,7,52,192,0.036419200000000984,192,1e-30,1.4997597826618576e-32,0.0,1.4997597826618576e-32
michalewicz,1,2,0,25,86,343,0.06543279999999996,343,1e-30,-1.8700482324311936,-1.8013,0.06874823243119366
perm,1,2,0,4,48,174,0.02884509999999807,174,1e-30,5.546678239835239e-31,0.0,5.546678239835239e-31
powell,1,4,0,1471,2506,20000,6.546890100000002,20000,1e-30,5.678770340629612e-07,0.0,5.678770340629612e-07
powersum,1,4,0,1446,2504,20000,6.6642698,20000,1e-30,0.001089735545377216,0.0,0.001089735545377216
rastrigin,1,2,0,26,92,365,0.06449800000000039,365,1e-30,0.0,0.0,0.0
rosenbrock,1,2,0,2588,5002,20000,7.908412500000004,20000,1e-30,3.7187167033831606e-15,0.0,3.7187167033831606e-15
schwefel,1,2,0,32,98,393,0.06880730000000312,393,1e-30,2.5455132458773733e-05,0.0,2.5455132458773733e-05
sphere,1,2,0,49,126,500,0.08496569999999792,500,1e-30,1.575170219036308e-24,0.0,1.575170219036308e-24
trid,1,2,0,5,50,193,0.035080399999998235,193,1e-30,-2.0,-2.0,0.0
zakharov,1,2,0,46,124,476,0.09199610000000291,476,1e-30,4.503033923276344e-24,0.0,4.503033923276344e-24
ackley,2,2,0,44,122,478,0.0829098999999971,478,1e-30,1.84456894203322e-11,0.0,1.84456894203322e-11
beale,2,2,0,25,90,344,0.054674200000000894,344,1e-30,0.762069650892315,0.0,0.762069650892315
dixonprice,2,2,0,54,144,552,0.10736550000000022,552,1e-30,3.2796342594335466e-23,0.0,3.2796342594335466e-23
griewank,2,2,0,43,116,430,0.08382800000000401,430,1e-30,0.06656436226066909,0.0,0.06656436226066909
levy,2,2,0,8,56,197,0.03892949999999473,197,1e-30,1.4997597826618576e-32,0.0,1.4997597826618576e-32
michalewicz,2,2,0,34,104,409,0.07719120000000146,409,1e-30,-1.8700482324311936,-1.8013,0.06874823243119366
perm,2,2,0,10,56,194,0.03373219999999577,194,1e-30,0.0,0.0,0.0
