Iter no.,Eval no.,poll_size,hmin,fmin,x1,x2
0,1,0.0,0.0,810081.0,10.0,10.0
1,2,1,0.0,837305.9999999999,10.0,8.5
1,3,1,0.0,387562.49999999994,8.5,10.0
2,4,2,0.0,425812.5,8.5,7.0
3,5,1.0,0.0,152136.0,7.0,10.0
4,6,2.0,0.0,3609.0,4.0,10.0
4,7,2.0,0.0,864981.0,10.0,7.0
5,9,4.0,0.0,3609.0,-2.0,10.0
5,8,4.0,0.0,14408.999999999998,4.0,4.0
6,11,2.0,0.0,8100.0,1.0,10.0
6,10,2.0,0.0,176435.99999999997,7.0,7.0
7,13,1.0,0.0,1408.5,2.5,10.0
7,12,1.0,0.0,41026.5,5.5,10.0
7,14,1.0,0.0,5634.0,4.0,8.5
8,15,2.0,0.0,58.5,2.5,7.0
8,16,2.0,0.0,9508.5,-0.5,10.0
9,17,4.0,0.0,2758.5,2.5,1.0
10,19,2.0,0.0,68926.5,5.5,4.0
10,18,2.0,0.0,4558.5,-0.5,7.0
10,20,2.0,0.0,54076.5,5.5,7.0
11,21,1.0,0.0,8109.0,4.0,7.0
11,22,1.0,0.0,3600.0,1.0,7.0
12,25,0.5,0.0,1550.953125,1.75,7.0
12,23,0.5,0.0,2.25,2.5,6.25
12,24,0.5,0.0,1274.203125,3.25,7.0
12,26,0.5,0.0,227.25,2.5,7.75
13,27,1.0,0.0,2756.25,1.0,6.25
13,28,1.0,0.0,9515.25,4.0,6.25
13,29,1.0,0.0,227.25,2.5,4.75
14,31,0.5,0.0,1864.828125,3.25,6.25
14,30,0.5,0.0,58.5,2.5,5.5
14,32,0.5,0.0,1016.5781249999999,1.75,6.25
15,35,0.25,0.0,488.8916015625,2.875,6.0625
15,33,0.25,0.0,370.6259765625,2.125,6.4375
15,34,0.25,0.0,3.5914649963378906,2.59375,6.625
15,36,0.25,0.0,2.6993751525878906,2.40625,5.875
16,38,0.125,0.0,92.94927978515625,2.6875,6.2734375
16,39,0.125,0.0,78.97027587890625,2.3125,6.2265625
16,37,0.125,0.0,20.376550912857056,2.546875,6.0625
16,40,0.125,0.0,19.724512338638306,2.453125,6.4375
17,43,0.0625,0.0,19.529056549072266,2.40625,6.208984375
17,42,0.0625,0.0,11.405379597621504,2.541015625,6.15625
17,41,0.0625,0.0,21.59531021118164,2.59375,6.291015625
17,44,0.0625,0.0,10.958200637775008,2.458984375,6.34375
18,46,0.03125,0.0,3.246166702376513,2.51025390625,6.203125
18,45,0.03125,0.0,3.1805155966596885,2.48974609375,6.296875
18,47,0.03125,0.0,7.036590814590454,2.453125,6.23974609375
18,48,0.03125,0.0,7.514822244644165,2.546875,6.26025390625
19,50,0.015625,0.0,2.258928224330603,2.497802734375,6.2265625
19,51,0.015625,0.0,3.601140394806862,2.4765625,6.2525634765625
19,49,0.015625,0.0,3.768077865242958,2.5234375,6.2474365234375
19,52,0.015625,0.0,2.2720877724958797,2.502197265625,6.2734375
20,55,0.0078125,0.0,2.2986310887099815,2.49761962890625,6.26171875
20,54,0.0078125,0.0,2.6038664588704705,2.51171875,6.252288818359375
20,53,0.0078125,0.0,2.530461036600172,2.48828125,6.247711181640625
20,56,0.0078125,0.0,2.3129668505862635,2.50238037109375,6.23828125
21,57,0.00390625,0.0,2.291484830493573,2.494140625,6.245033264160156
21,59,0.00390625,0.0,2.3269752041087486,2.505859375,6.254966735839844
